Match_Id,Player_Id,Role_Id,.
336029,46,Player,
336029,47,Player,
336029,48,Player,
336029,53,CaptainKeeper,
336029,54,Player,
336029,57,Player,
336029,61,Player,
336029,70,Player,
336029,71,Player,
336029,73,Player,
336029,98,Player,
336029,111,Player,
336029,112,Player,
336029,114,Keeper,
336029,115,Player,
336029,131,Player,
336029,133,Captain,
336029,143,Player,
336029,146,Player,
336029,149,Player,
336030,1,Captain,
336030,4,Player,
336030,5,Player,
336030,17,Player,
336030,20,CaptainKeeper,
336030,21,Player,
336030,23,Player,
336030,62,Keeper,
336030,63,Player,
336030,82,Player,
336030,84,Player,
336030,95,Player,
336030,103,Player,
336030,106,Player,
336030,107,Player,
336030,108,Player,
336030,109,Player,
336030,120,Player,
336030,121,Player,
336030,122,Player,
336030,144,Player,
336030,151,Player,
336031,6,Captain,
336031,9,Player,
336031,10,Player,
336031,12,Player,
336031,14,Player,
336031,15,Player,
336031,40,Player,
336031,41,Captain,
336031,42,Player,
336031,88,Keeper,
336031,89,Player,
336031,90,Player,
336031,91,Player,
336031,93,Player,
336031,94,Player,
336031,110,Player,
336031,113,Player,
336031,116,Player,
336031,118,Player,
336031,124,Player,
336031,132,Keeper,
336031,135,Player,
336032,1,Captain,
336032,4,Player,
336032,5,Player,
336032,31,Player,
336032,32,Player,
336032,33,Player,
336032,35,Player,
336032,36,Keeper,
336032,38,Captain,
336032,39,Player,
336032,62,Keeper,
336032,63,Player,
336032,74,Player,
336032,82,Player,
336032,84,Player,
336032,95,Player,
336032,101,Player,
336032,102,Player,
336032,103,Player,
336032,105,Player,
336032,106,Player,
336032,126,Player,
336033,25,Player,
336033,27,Captain,
336033,29,Player,
336033,44,Player,
336033,46,Player,
336033,47,Keeper,
336033,48,Player,
336033,49,Player,
336033,64,Player,
336033,67,Player,
336033,73,Player,
336033,77,Player,
336033,78,Player,
336033,92,Player,
336033,100,Player,
336033,133,Captain,
336033,134,Keeper,
336033,139,Player,
336033,147,Player,
336033,148,Player,
336033,149,Player,
336033,150,Player,
336034,6,Captain,
336034,8,Player,
336034,9,Player,
336034,11,Keeper,
336034,12,Player,
336034,14,Player,
336034,17,Keeper,
336034,20,Captain,
336034,21,Player,
336034,23,Player,
336034,81,Player,
336034,94,Player,
336034,107,Player,
336034,108,Player,
336034,109,Player,
336034,113,Player,
336034,120,Player,
336034,121,Player,
336034,122,Player,
336034,124,Player,
336034,132,Player,
336034,151,Player,
336036,26,Keeper,
336036,27,Captain,
336036,53,CaptainKeeper,
336036,54,Player,
336036,57,Player,
336036,58,Player,
336036,59,Player,
336036,61,Player,
336036,64,Player,
336036,67,Player,
336036,77,Player,
336036,78,Player,
336036,92,Player,
336036,97,Player,
336036,100,Player,
336036,111,Player,
336036,112,Player,
336036,131,Player,
336036,139,Player,
336036,143,Player,
336036,153,Player,
336036,437,Player,
336037,40,Player,
336037,41,Captain,
336037,42,Player,
336037,44,Player,
336037,46,Player,
336037,47,Keeper,
336037,48,Player,
336037,49,Player,
336037,73,Player,
336037,80,Player,
336037,87,Player,
336037,88,Keeper,
336037,90,Player,
336037,91,Player,
336037,118,Player,
336037,133,Captain,
336037,135,Player,
336037,136,Player,
336037,147,Player,
336037,148,Player,
336037,436,Player,
336037,438,Player,
336038,17,Keeper,
336038,20,Captain,
336038,21,Player,
336038,23,Player,
336038,30,Player,
336038,31,Player,
336038,33,Player,
336038,37,Player,
336038,38,Captain,
336038,69,Keeper,
336038,74,Player,
336038,75,Player,
336038,101,Player,
336038,102,Player,
336038,107,Player,
336038,109,Player,
336038,120,Player,
336038,121,Player,
336038,122,Player,
336038,126,Player,
336038,151,Player,
336038,152,Player,
336039,6,Captain,
336039,7,Player,
336039,8,Player,
336039,9,Player,
336039,11,Keeper,
336039,14,Player,
336039,15,Player,
336039,53,Keeper,
336039,55,Captain,
336039,57,Player,
336039,58,Player,
336039,59,Player,
336039,61,Player,
336039,70,Player,
336039,93,Player,
336039,94,Player,
336039,97,Player,
336039,113,Player,
336039,124,Player,
336039,131,Player,
336039,143,Player,
336039,232,Player,
336040,1,Captain,
336040,4,Player,
336040,25,Player,
336040,26,Keeper,
336040,27,Captain,
336040,29,Player,
336040,62,Keeper,
336040,63,Player,
336040,64,Player,
336040,67,Player,
336040,77,Player,
336040,78,Player,
336040,84,Player,
336040,92,Player,
336040,95,Player,
336040,100,Player,
336040,103,Player,
336040,105,Player,
336040,106,Player,
336040,128,Player,
336040,153,Player,
336040,174,Player,
336041,31,Player,
336041,32,Player,
336041,33,Player,
336041,35,Player,
336041,38,Captain,
336041,39,Player,
336041,44,Player,
336041,46,Player,
336041,48,Player,
336041,49,Player,
336041,69,Keeper,
336041,73,Player,
336041,75,Player,
336041,96,Player,
336041,101,Player,
336041,102,Player,
336041,114,Keeper,
336041,115,Player,
336041,133,Captain,
336041,138,Player,
336041,147,Player,
336041,149,Player,
336042,17,Keeper,
336042,20,Captain,
336042,21,Player,
336042,23,Player,
336042,53,CaptainKeeper,
336042,54,Player,
336042,58,Player,
336042,61,Player,
336042,70,Player,
336042,97,Player,
336042,107,Player,
336042,109,Player,
336042,112,Player,
336042,120,Player,
336042,121,Player,
336042,122,Player,
336042,131,Player,
336042,142,Player,
336042,143,Player,
336042,151,Player,
336042,152,Player,
336042,232,Player,
336043,31,Player,
336043,32,Player,
336043,33,Player,
336043,35,Player,
336043,36,Keeper,
336043,38,Captain,
336043,39,Player,
336043,40,Player,
336043,41,Captain,
336043,42,Player,
336043,74,Player,
336043,87,Player,
336043,88,Keeper,
336043,90,Player,
336043,91,Player,
336043,101,Player,
336043,102,Player,
336043,117,Player,
336043,118,Player,
336043,126,Player,
336043,135,Player,
336043,136,Player,
336044,17,Keeper,
336044,20,Captain,
336044,21,Player,
336044,23,Player,
336044,25,Player,
336044,26,Keeper,
