Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Player_team,.
32,SR Watson,1981/06/17,Right-hand bat,Right-arm fast-medium,Australia,Rajasthan Royals,
33,M Kaif,1980/12/01,Right-hand bat,Right-arm offbreak,India,Rajasthan Royals,
34,DS Lehmann,1970/02/05,Left-hand bat,Slow left-arm orthodox,Australia,Rajasthan Royals,
35,RA Jadeja,1988/12/06,Left-hand bat,Slow left-arm orthodox,India,Rajasthan Royals,
36,M Rawat,1985/10/25,Right-hand bat,NULL,India,Rajasthan Royals,
37,D Salunkhe,1982/11/12,Right-hand bat,Legbreak,India,Rajasthan Royals,
38,SK Warne,1969/09/13,Right-hand bat,Legbreak googly,Australia,Rajasthan Royals,
39,SK Trivedi,1982/09/04,Right-hand bat,Right-arm medium,India,Rajasthan Royals,
40,G Gambhir,1981/10/14,Left-hand bat,Legbreak,India,Delhi Daredevils,
41,V Sehwag,1978/10/20,Right-hand bat,Right-arm offbreak,India,Delhi Daredevils,
